opening /groups/hess/hesslab/ibeammsem/system_02/wafers/wafer_61/xlog/xlog_wafer_61.zarr ...
loading slab info with wafer_short_prefix w61_ and 10 number_of_slabs_per_group ...
found 14 magc ids without regions: [40, 41, 42, 86, 87, 103, 109, 152, 153, 197, 227, 235, 236, 308], this occurs when the block is sectioned before/after the ROI starts/ends,
found 554 region slabs with 53 max mfovs and 20 average mfovs

  SlabInfo(wafer_short_prefix='w61_', serial_id=62, magc_id=323, region=1, first_mfov=31, last_mfov=42, stack_name='w61_s062_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=63, magc_id=388, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s063_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=63, magc_id=388, region=1, first_mfov=31, last_mfov=42, stack_name='w61_s063_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=64, magc_id=392, region=0, first_mfov=0, last_mfov=31, stack_name='w61_s064_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=64, magc_id=392, region=1, first_mfov=32, last_mfov=44, stack_name='w61_s064_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=65, magc_id=60, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s065_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=65, magc_id=60, region=1, first_mfov=31, last_mfov=42, stack_name='w61_s065_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=66, magc_id=295, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s066_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=66, magc_id=295, region=1, first_mfov=30, last_mfov=41, stack_name='w61_s066_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=67, magc_id=181, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s067_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=67, magc_id=181, region=1, first_mfov=31, last_mfov=43, stack_name='w61_s067_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=68, magc_id=300, region=0, first_mfov=0, last_mfov=31, stack_name='w61_s068_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=68, magc_id=300, region=1, first_mfov=32, last_mfov=43, stack_name='w61_s068_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=69, magc_id=301, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s069_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=69, magc_id=301, region=1, first_mfov=31, last_mfov=42, stack_name='w61_s069_r01')
render project: w61_serial_070_to_079 (20 slab regions):
  SlabInfo(wafer_short_prefix='w61_', serial_id=70, magc_id=124, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s070_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=70, magc_id=124, region=1, first_mfov=30, last_mfov=41, stack_name='w61_s070_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=71, magc_id=232, region=0, first_mfov=0, last_mfov=31, stack_name='w61_s071_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=71, magc_id=232, region=1, first_mfov=32, last_mfov=43, stack_name='w61_s071_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=72, magc_id=253, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s072_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=72, magc_id=253, region=1, first_mfov=30, last_mfov=41, stack_name='w61_s072_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=73, magc_id=261, region=0, first_mfov=0, last_mfov=32, stack_name='w61_s073_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=73, magc_id=261, region=1, first_mfov=33, last_mfov=44, stack_name='w61_s073_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=74, magc_id=407, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s074_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=74, magc_id=407, region=1, first_mfov=30, last_mfov=41, stack_name='w61_s074_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=75, magc_id=184, region=0, first_mfov=0, last_mfov=28, stack_name='w61_s075_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=75, magc_id=184, region=1, first_mfov=29, last_mfov=40, stack_name='w61_s075_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=76, magc_id=136, region=0, first_mfov=0, last_mfov=31, stack_name='w61_s076_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=76, magc_id=136, region=1, first_mfov=32, last_mfov=43, stack_name='w61_s076_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=77, magc_id=196, region=0, first_mfov=0, last_mfov=28, stack_name='w61_s077_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=77, magc_id=196, region=1, first_mfov=29, last_mfov=40, stack_name='w61_s077_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=78, magc_id=203, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s078_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=78, magc_id=203, region=1, first_mfov=30, last_mfov=41, stack_name='w61_s078_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=79, magc_id=202, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s079_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=79, magc_id=202, region=1, first_mfov=31, last_mfov=41, stack_name='w61_s079_r01')
render project: w61_serial_080_to_089 (20 slab regions):
  SlabInfo(wafer_short_prefix='w61_', serial_id=80, magc_id=352, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s080_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=80, magc_id=352, region=1, first_mfov=30, last_mfov=41, stack_name='w61_s080_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=81, magc_id=351, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s081_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=81, magc_id=351, region=1, first_mfov=30, last_mfov=40, stack_name='w61_s081_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=82, magc_id=350, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s082_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=82, magc_id=350, region=1, first_mfov=31, last_mfov=41, stack_name='w61_s082_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=83, magc_id=161, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s083_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=83, magc_id=161, region=1, first_mfov=30, last_mfov=40, stack_name='w61_s083_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=84, magc_id=186, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s084_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=84, magc_id=186, region=1, first_mfov=31, last_mfov=41, stack_name='w61_s084_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=85, magc_id=356, region=0, first_mfov=0, last_mfov=31, stack_name='w61_s085_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=85, magc_id=356, region=1, first_mfov=32, last_mfov=42, stack_name='w61_s085_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=86, magc_id=88, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s086_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=86, magc_id=88, region=1, first_mfov=30, last_mfov=40, stack_name='w61_s086_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=87, magc_id=99, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s087_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=87, magc_id=99, region=1, first_mfov=30, last_mfov=40, stack_name='w61_s087_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=88, magc_id=207, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s088_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=88, magc_id=207, region=1, first_mfov=30, last_mfov=39, stack_name='w61_s088_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=89, magc_id=411, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s089_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=89, magc_id=411, region=1, first_mfov=31, last_mfov=42, stack_name='w61_s089_r01')
render project: w61_serial_090_to_099 (20 slab regions):
  SlabInfo(wafer_short_prefix='w61_', serial_id=90, magc_id=123, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s090_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=90, magc_id=123, region=1, first_mfov=30, last_mfov=39, stack_name='w61_s090_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=91, magc_id=244, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s091_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=91, magc_id=244, region=1, first_mfov=30, last_mfov=39, stack_name='w61_s091_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=92, magc_id=48, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s092_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=92, magc_id=48, region=1, first_mfov=30, last_mfov=39, stack_name='w61_s092_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=93, magc_id=335, region=0, first_mfov=0, last_mfov=28, stack_name='w61_s093_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=93, magc_id=335, region=1, first_mfov=29, last_mfov=38, stack_name='w61_s093_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=94, magc_id=361, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s094_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=94, magc_id=361, region=1, first_mfov=30, last_mfov=40, stack_name='w61_s094_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=95, magc_id=4, region=0, first_mfov=0, last_mfov=30, stack_name='w61_s095_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=95, magc_id=4, region=1, first_mfov=31, last_mfov=40, stack_name='w61_s095_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=96, magc_id=275, region=0, first_mfov=0, last_mfov=27, stack_name='w61_s096_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=96, magc_id=275, region=1, first_mfov=28, last_mfov=37, stack_name='w61_s096_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=97, magc_id=340, region=0, first_mfov=0, last_mfov=27, stack_name='w61_s097_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=97, magc_id=340, region=1, first_mfov=28, last_mfov=37, stack_name='w61_s097_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=98, magc_id=51, region=0, first_mfov=0, last_mfov=31, stack_name='w61_s098_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=98, magc_id=51, region=1, first_mfov=32, last_mfov=42, stack_name='w61_s098_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=99, magc_id=303, region=0, first_mfov=0, last_mfov=28, stack_name='w61_s099_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=99, magc_id=303, region=1, first_mfov=29, last_mfov=38, stack_name='w61_s099_r01')
render project: w61_serial_100_to_109 (20 slab regions):
  SlabInfo(wafer_short_prefix='w61_', serial_id=100, magc_id=302, region=0, first_mfov=0, last_mfov=28, stack_name='w61_s100_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=100, magc_id=302, region=1, first_mfov=29, last_mfov=38, stack_name='w61_s100_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=101, magc_id=355, region=0, first_mfov=0, last_mfov=28, stack_name='w61_s101_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=101, magc_id=355, region=1, first_mfov=29, last_mfov=38, stack_name='w61_s101_r01')
  SlabInfo(wafer_short_prefix='w61_', serial_id=102, magc_id=389, region=0, first_mfov=0, last_mfov=29, stack_name='w61_s102_r00')
  SlabInfo(wafer_short_prefix='w61_', serial_id=102, magc_id=389, region=1, first_mfov=30, last_mfov=39, stack_name='w61_s102_r01')
